סוג מוצר,שם קופה,שם חברה,קוד קופה,חשיפה למניות,"חשיפה לחו""ל","חשיפה למט""ח","אג""ח ממשלתיות סחירות","אג""ח קונצרני סחיר ותעודות סל אג""חיות","אג""ח קונצרניות לא סחירות","מניות, אופציות ותעודות סל מנייתיות",פיקדונות,הלוואות,מזומנים ושווי מזומנים,קרנות נאמנות,נכסים אחרים,נכסים סחירים ונזילים,נכסים לא סחירים,נכסים בארץ,"נכסים בחו""ל ובמט""ח",מקור
גמל/השתלמות,כלל השתלמות מניות,אחר,1350,98.72%,63.5%,27.26%,5.28%,4.27%,0.0%,70.15%,-1.04%,0.0%,13.76%,4.48%,3.11%,96.37%,3.63%,58.73%,41.27%,gemel.xml
גמל/השתלמות,כלל השתלמות מניות סחיר,אחר,15424,97.82%,1.59%,8.57%,0.0%,0.0%,0.0%,97.08%,0.0%,0.0%,2.68%,0.0%,0.23%,98.57%,1.43%,88.63%,11.37%,gemel.xml
גמל/השתלמות,כלל השתלמות משולב סחיר,אחר,15426,52.94%,1.86%,7.13%,25.16%,16.83%,0.0%,52.53%,0.0%,0.0%,5.3%,0.0%,0.18%,99.18%,0.82%,92.39%,7.61%,gemel.xml
גמל/השתלמות,כלל השתלמות עוקב  מדד s&amp;p 500,אחר,13342,99.14%,103.47%,99.88%,0.0%,0.0%,0.0%,68.31%,0.0%,-0.17%,30.39%,0.0%,1.46%,100.03%,-0.03%,17.25%,82.75%,gemel.xml
גמל/השתלמות,כלל השתלמות עוקב מדדי מניות,אחר,14790,97.25%,97.25%,99.66%,0.0%,0.0%,0.0%,40.89%,0.0%,0.0%,58.64%,0.0%,0.47%,99.6%,0.4%,1.28%,98.72%,gemel.xml
גמל/השתלמות,כלל השתלמות עוקב מדדים גמיש,אחר,14680,52.44%,101.53%,100.71%,0.0%,48.8%,0.0%,15.0%,0.0%,0.0%,33.41%,0.0%,2.78%,99.76%,0.24%,0.09%,99.91%,gemel.xml
גמל/השתלמות,כלל פיצויים למעסיק,אחר,241,45.48%,34.24%,21.17%,18.01%,24.79%,0.26%,33.98%,0.03%,3.18%,11.0%,5.72%,3.03%,92.0%,8.0%,71.76%,28.24%,gemel.xml
גמל/השתלמות,כלל תמר 50-60,אחר,9652,46.38%,46.96%,21.03%,11.2%,21.2%,0.78%,34.11%,-1.32%,6.12%,4.89%,3.75%,19.26%,72.96%,27.04%,62.93%,37.07%,gemel.xml
גמל/השתלמות,כלל תמר 60 ומעלה,אחר,9653,30.27%,37.68%,15.06%,21.15%,22.83%,1.01%,20.41%,-0.49%,9.03%,2.34%,3.45%,20.28%,67.19%,32.81%,70.81%,29.19%,gemel.xml
גמל/השתלמות,"כלל תמר אג""ח סחיר",אחר,15431,0.03%,1.64%,3.47%,33.12%,59.5%,0.03%,0.01%,0.0%,0.0%,6.88%,0.0%,0.47%,99.7%,0.3%,94.14%,5.86%,gemel.xml
גמל/השתלמות,"כלל תמר אשראי ואג""ח",אחר,117,3.72%,16.27%,7.81%,32.12%,35.82%,1.08%,3.69%,-0.52%,11.86%,4.28%,2.58%,9.1%,78.45%,21.55%,83.69%,16.31%,gemel.xml
גמל/השתלמות,כלל תמר כספי(שקלי),אחר,128,0.0%,0.0%,0.0%,12.92%,75.33%,9.72%,0.0%,0.0%,1.15%,0.94%,0.0%,-0.06%,89.19%,10.81%,100.0%,0.0%,gemel.xml
גמל/השתלמות,כלל תמר מניות,אחר,127,98.29%,63.72%,26.99%,5.2%,3.53%,0.09%,69.91%,-0.68%,0.61%,12.36%,5.53%,3.46%,94.78%,5.22%,56.51%,43.49%,gemel.xml
גמל/השתלמות,כלל תמר מניות סחיר,אחר,15430,96.56%,1.57%,8.43%,0.0%,0.0%,0.0%,95.83%,0.0%,0.0%,3.98%,0.0%,0.18%,98.64%,1.36%,88.63%,11.37%,gemel.xml
גמל/השתלמות,כלל תמר מסלול הלכתי (הוד),אחר,1533,49.41%,33.95%,20.71%,17.18%,29.52%,0.0%,44.54%,0.0%,0.72%,7.19%,0.48%,0.38%,99.16%,0.84%,70.42%,29.58%,gemel.xml
גמל/השתלמות,כלל תמר משולב סחיר,אחר,14236,52.63%,1.87%,7.02%,24.26%,16.85%,0.0%,52.22%,0.0%,0.0%,6.48%,0.0%,0.18%,99.19%,0.81%,92.44%,7.56%,gemel.xml
גמל/השתלמות,כלל תמר עד 50,אחר,9651,56.7%,55.9%,21.84%,6.43%,15.35%,0.87%,41.67%,-2.02%,6.43%,3.69%,6.22%,21.36%,70.8%,29.2%,55.99%,44.01%,gemel.xml
גמל/השתלמות,כלל תמר עוקב מדד s&amp;p 500,אחר,13343,99.19%,103.53%,99.94%,0.0%,0.0%,0.0%,68.35%,0.0%,-0.17%,30.36%,0.0%,1.45%,100.04%,-0.04%,17.2%,82.8%,gemel.xml
גמל/השתלמות,כלל תמר עוקב מדדי מניות,אחר,15093,97.92%,97.92%,100.35%,0.0%,0.0%,0.0%,41.17%,0.0%,0.0%,58.47%,0.0%,0.35%,99.71%,0.29%,0.6%,99.4%,gemel.xml
גמל/השתלמות,כלל תמר עוקב מדדים גמיש,אחר,14237,52.37%,101.38%,100.57%,0.0%,48.73%,0.0%,14.98%,0.0%,0.0%,33.5%,0.0%,2.78%,99.76%,0.24%,0.24%,99.76%,gemel.xml
גמל/השתלמות,כלל תקציבית,אחר,1284,4.77%,1.75%,0.18%,49.92%,36.38%,0.03%,4.77%,0.0%,0.0%,8.89%,0.0%,0.0%,99.97%,0.03%,98.99%,1.01%,gemel.xml
גמל/השתלמות,כלנית גמל לבני 50 ומטה,"הסתדרות המורים בישראל, אגודה עות'מאנית",7246,53.9%,35.97%,17.76%,17.18%,24.69%,0.2%,53.9%,0.0%,0.0%,2.49%,0.0%,1.54%,98.25%,1.75%,63.73%,36.27%,gemel.xml
גמל/השתלמות,כלנית גמל לבני 50 עד 60,"הסתדרות המורים בישראל, אגודה עות'מאנית",7245,45.04%,35.96%,17.5%,20.19%,19.01%,0.3%,44.6%,0.02%,0.09%,1.07%,0.44%,14.28%,85.26%,14.74%,64.07%,35.93%,gemel.xml
גמל/השתלמות,כלנית גמל לבני 60 ומעלה,"הסתדרות המורים בישראל, אגודה עות'מאנית",7240,21.55%,17.09%,14.99%,37.86%,35.76%,0.3%,21.55%,0.0%,0.0%,4.24%,0.0%,0.3%,99.41%,0.59%,82.8%,17.2%,gemel.xml
גמל/השתלמות,כלנית גמל עוקב מדדי מניות,"הסתדרות המורים בישראל, אגודה עות'מאנית",15376,92.32%,64.64%,24.68%,0.0%,0.0%,0.0%,92.23%,0.0%,0.0%,7.79%,0.0%,-0.02%,100.02%,-0.02%,75.35%,24.65%,gemel.xml
גמל/השתלמות,לאומי קופה מרכזית לפיצויים,"בנק לאומי בע""מ",1192,0.0%,28.64%,62.8%,8.49%,0.0%,0.0%,0.0%,0.0%,0.0%,7.09%,0.0%,84.42%,15.93%,84.07%,70.3%,29.7%,gemel.xml
גמל/השתלמות,מבטחים חופשה חגים והבראה,"מנורה מבטחים החזקות בע""מ",1154,34.44%,28.6%,19.43%,25.58%,27.72%,0.39%,27.34%,0.0%,5.16%,9.54%,2.83%,1.44%,93.38%,6.62%,75.45%,24.55%,gemel.xml
גמל/השתלמות,מבטחים מרכזית לפיצויים,"מנורה מבטחים החזקות בע""מ",827,31.63%,29.74%,13.28%,33.95%,27.04%,0.15%,24.65%,0.0%,3.74%,6.25%,3.18%,1.03%,95.58%,4.42%,73.22%,26.78%,gemel.xml
גמל/השתלמות,מבטחים-אחרות,אחר,526,58.6%,40.27%,23.81%,14.54%,20.65%,0.05%,58.6%,0.0%,0.55%,0.9%,0.0%,4.72%,94.68%,5.32%,59.68%,40.32%,gemel.xml
גמל/השתלמות,מגדל  חסכון לילד - הלכה,"שלמה אליהו אחזקות בע""מ",9895,47.43%,35.73%,20.04%,17.35%,30.74%,0.0%,47.42%,0.0%,0.0%,4.42%,0.0%,0.06%,99.94%,0.06%,63.34%,36.66%,gemel.xml
גמל/השתלמות,מגדל  חסכון לילד - חוסכים המעדיפים סיכון בינוני,"שלמה אליהו אחזקות בע""מ",9897,46.59%,43.07%,19.75%,13.01%,17.61%,0.77%,30.51%,0.0%,8.16%,17.54%,0.65%,11.73%,78.12%,21.88%,66.56%,33.44%,gemel.xml
גמל/השתלמות,מגדל  חסכון לילד - חוסכים המעדיפים סיכון מוגבר,"שלמה אליהו אחזקות בע""מ",9898,96.76%,59.95%,26.57%,8.99%,0.03%,0.01%,61.17%,0.0%,0.16%,26.22%,0.64%,2.77%,97.63%,2.37%,60.21%,39.79%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה  עוקב מדדים - גמיש,"שלמה אליהו אחזקות בע""מ",15341,50.1%,96.54%,99.34%,0.0%,40.62%,0.0%,55.72%,0.0%,0.0%,3.57%,0.0%,0.08%,99.92%,0.08%,2.46%,97.54%,gemel.xml
גמל/השתלמות,"מגדל גמל להשקעה אג""ח ממשלות","שלמה אליהו אחזקות בע""מ",7932,0.0%,10.35%,8.05%,71.4%,25.13%,0.0%,0.0%,0.0%,0.0%,3.37%,0.0%,0.09%,99.91%,0.09%,89.48%,10.52%,gemel.xml
גמל/השתלמות,"מגדל גמל להשקעה אשראי ואג""ח עם מניות (עד 25% מניות)","שלמה אליהו אחזקות בע""מ",7935,24.26%,29.56%,13.34%,18.15%,31.16%,1.54%,15.48%,0.0%,15.72%,8.67%,0.56%,8.71%,74.21%,25.79%,75.67%,24.33%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה הלכה,"שלמה אליהו אחזקות בע""מ",7937,46.64%,34.2%,19.87%,16.25%,29.87%,0.0%,46.63%,0.0%,0.0%,7.27%,0.0%,-0.02%,100.02%,-0.02%,64.48%,35.52%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה כללי,"שלמה אליהו אחזקות בע""מ",7936,48.06%,41.84%,19.91%,12.86%,13.8%,0.69%,32.04%,0.0%,13.96%,14.51%,0.64%,11.5%,73.04%,26.96%,66.94%,33.06%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה כספי (שקלי),"שלמה אליהו אחזקות בע""מ",7931,0.0%,0.0%,0.0%,70.57%,23.86%,0.0%,0.0%,0.0%,0.0%,5.65%,0.0%,-0.07%,100.07%,-0.07%,100.0%,0.0%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה מניות,"שלמה אליהו אחזקות בע""מ",7934,98.84%,57.09%,26.57%,8.9%,0.03%,0.0%,63.9%,0.0%,0.0%,25.39%,0.62%,1.15%,99.61%,0.39%,62.34%,37.66%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה מניות סחיר,"שלמה אליהו אחזקות בע""מ",15456,98.09%,1.98%,3.51%,0.0%,0.08%,0.0%,92.83%,0.0%,0.0%,7.26%,0.0%,-0.16%,99.41%,0.59%,90.2%,9.8%,gemel.xml
גמל/השתלמות,"מגדל גמל להשקעה מסלול אשראי ואג""ח","שלמה אליהו אחזקות בע""מ",14944,1.66%,17.98%,8.75%,26.99%,40.2%,1.53%,1.59%,0.0%,15.13%,6.08%,0.63%,7.84%,75.47%,24.53%,82.85%,17.15%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה מסלול עוקב מדדי מניות,"שלמה אליהו אחזקות בע""מ",14943,99.51%,99.51%,99.6%,0.0%,0.0%,0.0%,46.18%,0.0%,0.0%,51.05%,0.0%,2.77%,100.43%,-0.43%,64.35%,35.65%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה משולב סחיר,"שלמה אליהו אחזקות בע""מ",15455,54.11%,43.49%,19.39%,11.36%,29.79%,0.0%,32.11%,0.0%,0.0%,25.43%,0.89%,0.41%,100.15%,-0.15%,70.88%,29.12%,gemel.xml
גמל/השתלמות,מגדל גמל להשקעה עוקב מדד s&amp;p500,"שלמה אליהו אחזקות בע""מ",13563,99.69%,99.69%,99.71%,0.0%,0.0%,0.0%,57.21%,0.0%,0.0%,40.05%,0.43%,2.31%,99.92%,0.08%,37.35%,62.65%,gemel.xml
גמל/השתלמות,"מגדל גמל להשקעה עוקב מדדי אג""ח","שלמה אליהו אחזקות בע""מ",15457,0.0%,96.38%,100.78%,0.0%,96.0%,0.0%,0.0%,0.0%,0.0%,4.03%,0.0%,-0.03%,100.03%,-0.03%,4.58%,95.42%,gemel.xml
גמל/השתלמות,מגדל השתלמות  הלכה,"שלמה אליהו אחזקות בע""מ",2048,46.78%,35.06%,19.99%,17.0%,30.19%,0.0%,46.78%,0.0%,0.0%,6.01%,0.0%,0.02%,99.98%,0.02%,63.51%,36.49%,gemel.xml
גמל/השתלמות,"מגדל השתלמות אג""ח ממשלות","שלמה אליהו אחזקות בע""מ",865,0.0%,10.15%,7.76%,66.78%,29.46%,0.0%,0.0%,0.0%,0.0%,3.77%,0.0%,-0.02%,100.02%,-0.02%,89.77%,10.23%,gemel.xml
גמל/השתלמות,"מגדל השתלמות אשראי ואג""ח","שלמה אליהו אחזקות בע""מ",199,1.69%,18.74%,8.3%,27.18%,40.24%,1.55%,1.76%,0.0%,16.23%,4.16%,0.61%,8.27%,73.77%,26.23%,81.91%,18.09%,gemel.xml
גמל/השתלמות,"מגדל השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)","שלמה אליהו אחזקות בע""מ",15340,23.94%,29.08%,13.72%,17.89%,29.92%,1.52%,15.24%,0.0%,15.0%,11.58%,0.58%,8.28%,75.39%,24.61%,76.15%,23.85%,gemel.xml
גמל/השתלמות,מגדל השתלמות בניהול אישי IRA,"שלמה אליהו אחזקות בע""מ",8890,76.49%,76.28%,76.79%,0.59%,1.84%,0.0%,74.86%,0.0%,0.0%,6.42%,11.96%,4.33%,96.57%,3.43%,36.79%,63.21%,gemel.xml
גמל/השתלמות,מגדל השתלמות כללי,"שלמה אליהו אחזקות בע""מ",579,46.81%,47.49%,20.03%,13.14%,10.7%,0.6%,31.57%,0.0%,11.25%,13.9%,0.59%,18.24%,67.71%,32.29%,62.02%,37.98%,gemel.xml
גמל/השתלמות,מגדל השתלמות כספי (שקלי),"שלמה אליהו אחזקות בע""מ",864,0.0%,0.0%,0.0%,71.82%,24.91%,0.0%,0.0%,0.0%,0.0%,3.3%,0.0%,-0.02%,100.02%,-0.02%,100.0%,0.0%,gemel.xml
גמל/השתלמות,מגדל השתלמות מניות,"שלמה אליהו אחזקות בע""מ",869,98.87%,61.3%,26.33%,8.91%,0.03%,0.0%,61.65%,0.0%,0.0%,27.39%,0.67%,1.34%,99.53%,0.47%,59.81%,40.19%,gemel.xml
גמל/השתלמות,מגדל השתלמות מניות סחיר,"שלמה אליהו אחזקות בע""מ",15449,98.18%,1.99%,3.52%,0.0%,0.08%,0.0%,92.9%,0.0%,0.0%,7.17%,0.0%,-0.14%,99.39%,0.61%,90.18%,9.82%,gemel.xml
גמל/השתלמות,מגדל השתלמות מסלול עוקב מדדי מניות,"שלמה אליהו אחזקות בע""מ",14945,99.54%,99.54%,99.63%,0.0%,0.0%,0.0%,46.19%,0.0%,0.0%,51.02%,0.0%,2.79%,100.41%,-0.41%,64.34%,35.66%,gemel.xml
גמל/השתלמות,מגדל השתלמות משולב סחיר,"שלמה אליהו אחזקות בע""מ",15448,55.76%,44.8%,19.82%,11.73%,30.73%,0.0%,33.11%,0.0%,0.0%,22.98%,0.91%,0.54%,100.01%,-0.01%,69.97%,30.03%,gemel.xml
גמל/השתלמות,מגדל השתלמות עוקב מדד S&amp;P 500,"שלמה אליהו אחזקות בע""מ",14668,99.55%,99.55%,99.57%,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,40.1%,0.43%,2.33%,99.9%,0.1%,37.43%,62.57%,gemel.xml
גמל/השתלמות,"מגדל השתלמות עוקב מדדי אג""ח","שלמה אליהו אחזקות בע""מ",15450,0.0%,95.65%,99.99%,0.0%,95.43%,0.0%,0.0%,0.0%,0.0%,4.74%,0.0%,-0.18%,100.18%,-0.18%,4.51%,95.49%,gemel.xml
גמל/השתלמות,מגדל השתלמות עוקב מדדים - גמיש,"שלמה אליהו אחזקות בע""מ",7256,50.04%,96.42%,100.06%,0.0%,40.53%,0.0%,55.7%,0.0%,0.0%,3.48%,0.0%,0.29%,99.71%,0.29%,1.29%,98.71%,gemel.xml
גמל/השתלמות,מגדל חסכון לילד - חוסכים המעדיפים סיכון מועט,"שלמה אליהו אחזקות בע""מ",9896,23.04%,29.55%,11.71%,27.13%,24.71%,0.77%,15.65%,0.0%,8.13%,10.26%,0.49%,12.86%,76.56%,23.44%,74.51%,25.49%,gemel.xml
גמל/השתלמות,מגדל לתגמולים בניהול אישי IRA,"שלמה אליהו אחזקות בע""מ",8888,70.1%,82.32%,85.41%,0.26%,4.64%,0.0%,68.36%,0.0%,0.0%,5.19%,8.67%,12.89%,88.34%,11.66%,27.99%,72.01%,gemel.xml
גמל/השתלמות,"מגדל לתגמולים ולפיצויים אג""ח ממשלות","שלמה אליהו אחזקות בע""מ",859,0.0%,9.84%,7.81%,66.24%,29.78%,0.0%,0.0%,0.0%,0.0%,3.95%,0.0%,0.03%,99.97%,0.03%,89.96%,10.04%,gemel.xml
גמל/השתלמות,"מגדל לתגמולים ולפיצויים אשראי ואג""ח","שלמה אליהו אחזקות בע""מ",8012,1.68%,18.16%,8.56%,26.94%,39.93%,1.39%,1.77%,0.0%,14.42%,6.99%,0.6%,7.96%,76.04%,23.96%,82.35%,17.65%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים הלכה,"שלמה אליהו אחזקות בע""מ",15452,46.66%,34.86%,19.99%,16.4%,30.89%,0.0%,46.65%,0.0%,0.0%,5.35%,0.0%,0.7%,99.3%,0.7%,65.13%,34.87%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים כספי (שקלי),"שלמה אליהו אחזקות בע""מ",858,0.0%,0.0%,0.0%,71.73%,24.47%,0.0%,0.0%,0.0%,0.0%,3.89%,0.0%,-0.09%,100.09%,-0.09%,100.0%,0.0%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים מניות,"שלמה אליהו אחזקות בע""מ",863,98.24%,59.27%,26.44%,8.87%,0.03%,0.0%,62.1%,0.0%,0.0%,27.09%,0.65%,1.26%,99.56%,0.44%,61.16%,38.84%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים מניות סחיר,"שלמה אליהו אחזקות בע""מ",15453,97.94%,1.98%,3.5%,0.0%,0.08%,0.0%,92.69%,0.0%,0.0%,7.38%,0.0%,-0.15%,99.4%,0.6%,90.23%,9.77%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים מסלול לבני 50 ומטה,"שלמה אליהו אחזקות בע""מ",9779,56.45%,49.66%,20.4%,10.04%,12.4%,0.77%,36.79%,0.0%,8.14%,16.72%,0.62%,14.52%,75.22%,24.78%,61.62%,38.38%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים מסלול לבני 50 עד 60,"שלמה אליהו אחזקות בע""מ",9780,46.85%,45.42%,20.31%,12.25%,13.64%,0.77%,30.91%,0.0%,9.72%,17.22%,0.65%,14.86%,73.37%,26.63%,63.9%,36.1%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים מסלול לבני 60 ומעלה,"שלמה אליהו אחזקות בע""מ",9781,27.82%,31.32%,15.15%,23.4%,24.5%,0.77%,18.47%,0.0%,8.14%,12.87%,0.52%,11.34%,78.66%,21.34%,74.25%,25.75%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים משולב סחיר,"שלמה אליהו אחזקות בע""מ",14229,55.25%,44.38%,19.57%,11.61%,30.48%,0.0%,32.82%,0.0%,0.0%,23.4%,0.91%,0.77%,99.78%,0.22%,70.27%,29.73%,gemel.xml
גמל/השתלמות,"מגדל לתגמולים ולפיצויים עוקב מדדי אג""ח","שלמה אליהו אחזקות בע""מ",15454,0.0%,87.35%,91.08%,0.0%,87.16%,0.0%,0.0%,0.0%,0.0%,13.21%,0.0%,-0.37%,100.37%,-0.37%,13.72%,86.28%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים עוקב מדדי מניות,"שלמה אליהו אחזקות בע""מ",15055,99.48%,99.48%,99.56%,0.0%,0.0%,0.0%,46.16%,0.0%,0.0%,51.09%,0.0%,2.75%,100.44%,-0.44%,64.36%,35.64%,gemel.xml
גמל/השתלמות,מגדל לתגמולים ולפיצויים עוקב מדדים - גמיש,"שלמה אליהו אחזקות בע""מ",14228,50.03%,96.44%,99.55%,0.0%,40.58%,0.0%,55.67%,0.0%,0.0%,3.45%,0.0%,0.3%,99.7%,0.3%,1.52%,98.48%,gemel.xml
גמל/השתלמות,מגדל לתגמולים עוקב מדד s&amp;p500,"שלמה אליהו אחזקות בע""מ",13565,99.86%,99.86%,99.88%,0.0%,0.0%,0.0%,57.31%,0.0%,0.0%,39.92%,0.43%,2.34%,99.89%,0.11%,37.24%,62.76%,gemel.xml
גמל/השתלמות,מגדל-מרכזית לפיצויים,"שלמה אליהו אחזקות בע""מ",745,45.43%,32.18%,19.77%,19.33%,30.96%,0.01%,29.15%,0.0%,0.18%,19.96%,0.66%,-0.25%,100.44%,-0.44%,78.06%,21.94%,gemel.xml
גמל/השתלמות,מור  מנורה מבטחים 50-60,"מנורה מבטחים החזקות בע""מ",9790,48.63%,33.9%,20.33%,17.24%,29.83%,0.08%,38.45%,-0.15%,1.03%,10.14%,2.35%,1.03%,98.23%,1.77%,70.84%,29.16%,gemel.xml
גמל/השתלמות,מור  מנורה מבטחים 60 ומעלה,"מנורה מבטחים החזקות בע""מ",9791,27.68%,21.81%,13.89%,31.52%,26.23%,0.37%,22.05%,0.0%,5.53%,11.3%,1.7%,1.31%,93.0%,7.0%,80.95%,19.05%,gemel.xml
גמל/השתלמות,מור  מנורה מבטחים מדד s&amp;p 500,"מנורה מבטחים החזקות בע""מ",15421,97.01%,100.11%,94.16%,0.0%,0.0%,0.0%,28.89%,0.0%,0.0%,65.07%,4.5%,1.53%,100.53%,-0.53%,87.67%,12.33%,gemel.xml
גמל/השתלמות,מור  מנורה מבטחים משולב סחיר,"מנורה מבטחים החזקות בע""מ",14403,64.48%,68.11%,68.11%,0.0%,24.91%,0.0%,64.48%,0.0%,0.0%,2.69%,8.16%,-0.24%,100.24%,-0.24%,35.08%,64.92%,gemel.xml
גמל/השתלמות,מור  מנורה מבטחים עד 50,"מנורה מבטחים החזקות בע""מ",9789,59.15%,46.89%,21.3%,8.18%,15.56%,0.35%,47.01%,-0.79%,5.93%,8.59%,2.37%,12.82%,80.9%,19.1%,56.38%,43.62%,gemel.xml
גמל/השתלמות,"מור גמל להשקעה - אג""ח סחיר","י.ד מור השקעות בע""מ",15255,4.1%,11.1%,5.96%,8.63%,83.2%,0.0%,4.08%,0.0%,0.0%,4.11%,0.0%,-0.02%,99.86%,0.14%,90.67%,9.33%,gemel.xml
גמל/השתלמות,"מור גמל להשקעה - אג""ח עם מניות (עד 25% מניות) סחיר","י.ד מור השקעות בע""מ",15254,22.54%,13.24%,20.25%,25.1%,43.54%,0.0%,13.77%,0.0%,0.0%,14.16%,2.96%,0.46%,99.66%,0.34%,93.82%,6.18%,gemel.xml
גמל/השתלמות,"מור גמל להשקעה - אשראי ואג""ח","י.ד מור השקעות בע""מ",14482,3.63%,8.85%,6.16%,9.49%,72.64%,8.97%,3.49%,0.0%,1.75%,2.46%,0.29%,0.92%,88.22%,11.78%,93.05%,6.95%,gemel.xml
גמל/השתלמות,"מור גמל להשקעה - אשראי ואג""ח עם מניות (עד 25% מניות)","י.ד מור השקעות בע""מ",12955,22.42%,25.86%,19.37%,26.64%,32.8%,2.59%,9.64%,0.0%,5.18%,15.34%,0.4%,7.41%,84.09%,15.91%,79.05%,20.95%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - כספי (שקלי),"י.ד מור השקעות בע""מ",7963,0.0%,0.0%,0.0%,89.47%,5.22%,0.0%,0.0%,0.0%,0.0%,6.13%,0.0%,-0.82%,100.82%,-0.82%,100.0%,0.0%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - מניות,"י.ד מור השקעות בע""מ",12537,97.08%,68.24%,23.38%,30.13%,5.8%,0.75%,37.83%,0.0%,0.36%,19.72%,0.15%,5.27%,91.18%,8.82%,76.31%,23.69%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - מניות סחיר,"י.ד מור השקעות בע""מ",15256,92.45%,59.03%,18.11%,39.86%,4.42%,0.13%,36.8%,0.0%,0.0%,15.66%,0.01%,3.12%,99.3%,0.7%,88.7%,11.3%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - משולב סחיר,"י.ד מור השקעות בע""מ",15253,43.32%,28.11%,16.54%,22.51%,36.41%,0.0%,19.44%,0.0%,0.0%,16.3%,4.22%,1.12%,99.84%,0.16%,92.41%,7.59%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - עוקב מדד S&amp;P500,"י.ד מור השקעות בע""מ",7958,100.63%,100.63%,100.77%,22.57%,0.0%,0.0%,36.94%,0.0%,0.0%,27.78%,13.95%,-1.23%,101.26%,-1.26%,96.5%,3.5%,gemel.xml
גמל/השתלמות,"מור גמל להשקעה - עוקב מדדי אג""ח","י.ד מור השקעות בע""מ",15260,0.0%,110.41%,96.86%,22.9%,58.05%,0.0%,0.21%,0.0%,0.0%,17.57%,0.0%,1.27%,98.52%,1.48%,69.39%,30.61%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - עוקב מדדי מניות,"י.ד מור השקעות בע""מ",15259,100.22%,120.6%,100.61%,53.7%,0.0%,0.0%,27.99%,0.0%,0.0%,16.0%,0.0%,2.32%,102.18%,-2.18%,61.44%,38.56%,gemel.xml
גמל/השתלמות,"מור גמל להשקעה - עוקב מדדים אג""ח עם מניות (עד 25% מניות)","י.ד מור השקעות בע""מ",15258,21.83%,96.54%,100.26%,34.26%,26.14%,0.0%,20.29%,0.0%,0.0%,21.2%,0.0%,-1.89%,101.55%,-1.55%,89.77%,10.23%,gemel.xml
גמל/השתלמות,מור גמל להשקעה - עוקב מדדים גמיש,"י.ד מור השקעות בע""מ",15257,44.1%,100.36%,99.82%,33.69%,19.36%,0.0%,21.96%,0.0%,0.0%,23.45%,1.05%,0.5%,100.87%,-0.87%,89.71%,10.29%,gemel.xml
גמל/השתלמות,מור גמל להשקעה- כללי,"י.ד מור השקעות בע""מ",12538,45.49%,41.49%,19.54%,23.92%,20.57%,2.04%,19.2%,0.0%,9.14%,17.01%,0.42%,7.7%,79.59%,20.41%,79.63%,20.37%,gemel.xml
גמל/השתלמות,"מור השתלמות - אשראי ואג""ח","י.ד מור השקעות בע""מ",14483,3.76%,9.94%,6.2%,7.43%,72.98%,9.85%,3.53%,0.0%,2.26%,2.27%,0.31%,1.38%,86.32%,13.68%,92.67%,7.33%,gemel.xml
גמל/השתלמות,"מור השתלמות - אשראי ואג""ח עם מניות (עד 25% מניות)","י.ד מור השקעות בע""מ",12956,24.48%,29.05%,19.48%,25.91%,32.44%,2.49%,10.24%,0.0%,4.43%,14.16%,0.01%,10.32%,82.23%,17.77%,78.05%,21.95%,gemel.xml
גמל/השתלמות,מור השתלמות - כללי,"י.ד מור השקעות בע""מ",12535,47.03%,45.47%,19.69%,18.77%,19.24%,2.2%,19.53%,0.0%,10.6%,17.09%,0.05%,12.52%,72.84%,27.16%,77.73%,22.27%,gemel.xml
גמל/השתלמות,מור השתלמות - מניות,"י.ד מור השקעות בע""מ",12536,97.15%,69.29%,23.2%,29.82%,3.32%,0.69%,36.98%,0.0%,0.43%,22.5%,0.14%,6.12%,90.19%,9.81%,77.23%,22.77%,gemel.xml
